Date,Symbol,Open,High,Low,Close,Volume,Market Cap
14-07-2018,BTC,6247.5,6298.19,6212.22,6276.12,2923670016,1.0713E+11
15-07-2018,BTC,6272.7,6403.46,6256.51,6359.64,3285459968,1.07573E+11
16-07-2018,BTC,6357.01,6741.75,6357.01,6741.75,4725799936,1.09029E+11
17-07-2018,BTC,6739.65,7387.24,6684.17,7321.04,5961950208,1.15602E+11
18-07-2018,BTC,7315.32,7534.99,7280.47,7370.78,6103410176,1.25491E+11
19-07-2018,BTC,7378.2,7494.46,7295.46,7466.86,5111629824,1.26585E+11
20-07-2018,BTC,7467.4,7594.67,7323.26,7354.13,4936869888,1.28132E+11
21-07-2018,BTC,7352.72,7437.64,7262.41,7419.29,3726609920,1.26178E+11
22-07-2018,BTC,7417.8,7537.95,7383.82,7418.49,3695460096,1.27308E+11
23-07-2018,BTC,7414.71,7771.5,7409.1,7711.11,5132480000,1.27272E+11
24-07-2018,BTC,7716.51,8424.27,7705.5,8424.27,7277689856,1.32468E+11
25-07-2018,BTC,8379.66,8416.87,8086.36,8181.39,5845400064,1.43869E+11
26-07-2018,BTC,8176.85,8290.33,7878.71,7951.58,4899089920,1.40405E+11
27-07-2018,BTC,7950.4,8262.66,7839.76,8165.01,5195879936,1.36533E+11
28-07-2018,BTC,8169.06,8222.85,8110.77,8192.15,3988750080,1.40305E+11
29-07-2018,BTC,8205.82,8272.26,8141.18,8218.46,4107190016,1.40951E+11
30-07-2018,BTC,8221.58,8235.5,7917.5,8180.48,5551400000,1.41239E+11
31-07-2018,BTC,8181.2,8181.53,7696.93,7780.44,5287530000,1.4056E+11
01-08-2018,BTC,7769.04,7769.04,7504.95,7624.91,4797620000,1.33493E+11
02-08-2018,BTC,7634.19,7712.77,7523.44,7567.15,4214110000,1.3119E+11
03-08-2018,BTC,7562.14,7562.14,7328.65,7434.39,4627150000,1.29966E+11
04-08-2018,BTC,7438.67,7497.49,6984.07,7032.85,4268390000,1.27859E+11
05-08-2018,BTC,7031.08,7102.77,6940.7,7068.48,3679110000,1.20869E+11
06-08-2018,BTC,7062.94,7166.55,6890.54,6951.8,3925900000,1.21431E+11
07-08-2018,BTC,6958.32,7146.56,6748.24,6753.12,4682800000,1.19644E+11
08-08-2018,BTC,6746.85,6746.85,6226.22,6305.8,5064430000,1.1602E+11
09-08-2018,BTC,6305.56,6625.73,6249.07,6568.23,4267040000,1.08444E+11
10-08-2018,BTC,6571.42,6591.26,6124.52,6184.71,4528680000,1.13029E+11
11-08-2018,BTC,6185.79,6455.74,6109.03,6295.73,4047850000,1.06409E+11
12-08-2018,BTC,6283.65,6409.85,6237.5,6322.69,5665250000,1.08106E+11
13-08-2018,BTC,6341.36,6537.05,6225.72,6297.57,4083980000,1.09112E+11
